Country	CountryCode	Population	totalAthletes	totalMedals	medalsAthlRatio	medalsPopRatio	medalsLogPopRatio	athlPopRatio	athlLogPopRatio
Kazakhstan	KAZ	16791425	107	10	0.0934579439252336	5.95542069836241e-07	1.38406627259128	6.37230014724778e-06	14.8095091167267
Kenya	KEN	43178141	49	7	0.142857142857143	1.62119068535165e-07	0.916798692857552	1.13483347974615e-06	6.41759085000287
Kiribati	KIR	100786	3	0	0	0	0	2.97660389339789e-05	0.59959225217651
Korea, Rep.	KOR	50004441	255	23.97	0.094	4.79357423473647e-07	3.11338788122276	5.09954705823029e-06	33.1211476725826
Kuwait	KWT	3250496	10	1	0.1	3.07645356277934e-07	0.153563841231318	3.07645356277934e-06	1.53563841231318
Kyrgyz Republic	KGZ	5607200	13	0	0	0	0	2.31844771008703e-06	1.92628377323904
Lao PDR	LAO	6645827	3	0	0	0	0	4.51411088492072e-07	0.439718349551365
Latvia	LVA	2034319	38	1	0.0263157894736842	4.91564990544747e-07	0.15851832150531	1.86794696407004e-05	6.02369621720179
Lebanon	LBN	4424888	10	0	0	0	0	2.25994420649743e-06	1.504686583522
Lesotho	LSO	2051545	3	0	0	0	0	1.46231254981002e-06	0.475279068410883
Liberia	LBR	4190435	4	0	0	0	0	9.54554837385618e-07	0.604023481183202
Libya	LBY	6154623	2	0	0	0	0	3.24958977991016e-07	0.29458545502244
Liechtenstein	LIE	36656	3	0	0	0	0	8.18419903972065e-05	0.6572972490524
Lithuania	LTU	2987773	60	2	0.0333333333333333	6.6939489713576e-07	0.308863728107061	2.00818469140728e-05	9.26591184321182
Luxembourg	LUX	530946	10	0	0	0	0	1.88343070670087e-05	1.74670952793358
Macedonia, FYR	MKD	2105575	4	0	0	0	0	1.89971860418176e-06	0.63257401471132
Madagascar	MDG	22293914	7	0	0	0	0	3.13987037000322e-07	0.952616018940236
Malawi	MWI	15906483	3	0	0	0	0	1.88602345345605e-07	0.416575589029625
Malaysia	MYS	29239927	30	2	0.0666666666666667	6.83996235695117e-08	0.267881911743696	1.02599435354267e-06	4.01822867615544
Maldives	MDV	338442	5	0	0	0	0	1.47735801112155e-05	0.904243464921762
Mali	MLI	14853572	6	0	0	0	0	4.03943240050272e-07	0.83660645083056
Malta	MLT	419455	5	0	0	0	0	1.1920229822031e-05	0.88925480725816
Marshall Islands	MHL	52555	4	0	0	0	0	7.61107411283417e-05	0.847347392891536
Mauritania	MRT	3796141	2	0	0	0	0	5.26850820346241e-07	0.303981750477742
Mauritius	MUS	1291456	11	0	0	0	0	8.51751821200258e-06	1.80000927728543
Mexico	MEX	120847477	103	4.7	0.045631067961165	3.88919993753779e-08	0.581522127866748	8.52314028864665e-07	12.7439955681436
Micronesia, Fed. Sts.	FSM	103395	6	0	0	0	0	5.80298853909764e-05	1.19653017316493
Moldova	MDA	3559519	21	2	0.0952380952380952	5.61873668886161e-07	0.305278665812794	5.89967352330469e-06	3.20542599103433
Monaco	MCO	37579	6	0	0	0	0	0.000159663641927672	1.31149111359382
Mongolia	MNG	2796484	29	4	0.137931034482759	1.43036756155229e-06	0.620480926995236	1.03701648212541e-05	4.49848672071546
Montenegro	MNE	621081	30	0	0	0	0	4.8302878368522e-05	5.17853138545182
Morocco	MAR	32521143	70	1	0.0142857142857143	3.07492267415078e-08	0.133117402688114	2.15244587190555e-06	9.31821818816795
Mozambique	MOZ	25203395	6	0	0	0	0	2.38063165696526e-07	0.810650976076988
Myanmar	MMR	52797319	6	0	0	0	0	1.13642133987902e-07	0.776939214477114
Namibia	NAM	2259393	9	0	0	0	0	3.98337075488859e-06	1.41643242754678
Nepal	NPL	27474377	4	0	0	0	0	1.45590198460187e-07	0.537711895973336
Netherlands	NLD	16754962	178	15.989	0.0898258426966292	9.54284468087722e-07	2.21327277300939	1.06237185139543e-05	24.6395993242649
New Zealand	NZL	4433100	185	9.75	0.0527027027027027	2.19936387629424e-06	1.46689168417085	4.17315197040446e-05	27.8333293919598
Nicaragua	NIC	5991733	5	0	0	0	0	8.34483111981125e-07	0.73772944365247
Niger	NER	17157042	6	0	0	0	0	3.49710631937603e-07	0.82936592156008
Nigeria	NGA	168833776	48	0	0	0	0	2.84303301964886e-07	5.83412181736745
Norway	NOR	5018573	63	3	0.0476190476190476	5.97779488312714e-07	0.447722419546578	1.2553369254567e-05	9.40217081047814
Oman	OMN	3314001	4	0	0	0	0	1.2070002392878e-06	0.613463753240578
Pakistan	PAK	179160111	21	0	0	0	0	1.17213591143622e-07	2.54445486064688
Palau	PLW	20754	5	0	0	0	0	0.000240917413510649	1.15818440640914
Panama	PAN	3802281	8	0	0	0	0	2.10400020408802e-06	1.21579730248489
Papua New Guinea	PNG	7167010	6	0	0	0	0	8.37169196080374e-07	0.875230366594399
Paraguay	PRY	6687361	8	0	0	0	0	1.19628654711477e-06	1.1721174185886
Peru	PER	29987800	16	0	0	0	0	5.33550310459587e-07	2.13991153388814
Philippines	PHL	96706764	10	0	0	0	0	1.03405383309072e-07	1.25227650544804
Poland	POL	38535873	198	9	0.0454545454545455	2.33548621047199e-07	1.1864170744276	5.13806966303838e-06	26.1011756374072
Portugal	PRT	10514844	70	1	0.0142857142857143	9.5103645855326e-08	0.142413568661578	6.65725520987282e-06	9.96894980631049
Puerto Rico	PRI	3667084	20	1	0.05	2.72696234937623e-07	0.152338683863334	5.45392469875247e-06	3.04677367726667
Qatar	QAT	2050514	12	2	0.166666666666667	9.75365201115428e-07	0.316863671274807	5.85219120669257e-06	1.90118202764884
